School_ID,LinkedClubs,Region,LocalAuthority,SEEDCode,Postscode,SchoolType,School
2592,none,West,Glasgow City Council,1001507,G20 9NY,Primary,Highpark Primary School
38,none,West,Glasgow City Council,8405328,G31 2TL,Primary,Alexandra Parade Primary School
61,none,West,Glasgow City Council,8411921,G15 8PR,Primary,Antonine Primary School
86,none,West,Glasgow City Council,8410429,G46 8DQ,Primary,Ashpark Primary School
108,none,West,Glasgow City Council,8411123,G33 5NY,Primary,Avenue End Primary School
190,none,West,Glasgow City Council,8406820,G5 0SS,Primary,Blackfriars Primary School
199,none,West,Glasgow City Council,8406928,G15 6HL,Primary,Blairdardie Primary School
331,none,West,Glasgow City Council,8455422,G32 8AG,Primary,Carmyle Primary School
459,none,West,Glasgow City Council,8411220,G52 1AL,Primary,Craigton Primary School
478,none,West,Glasgow City Council,8416222,G53 5SD,Primary,Crookston Castle Primary School
529,none,West,Glasgow City Council,8446628,G53 7HT,Primary,Darnley Primary School
715,Broomhill Sports Club,West,Glasgow City Council,8456321,G69 6PP,Primary,Garrowhill Primary School
803,none,West,Glasgow City Council,8413223,G31 3LS,Primary,Haghill Park Primary School
844,none,West,Glasgow City Council,8413525,G12 8NS,Primary,Hillhead Primary School
847,none,West,Glasgow City Council,8413622,G52 2JL,Primary,Hillington Primary School
857,Glasgow South Saltires Netball Club,West,Glasgow City Council,8414122,G42 7NH,Primary,Holy Cross Primary School
879,none,West,Glasgow City Council,8414629,G51 2XP,Primary,Ibrox Primary School
1046,Harmony Row Netball Club,West,Glasgow City Council,8449325,G15 7AQ,Primary,Langfaulds Primary School
1144,none,West,Glasgow City Council,8416028,G51 1DP,Primary,Lorne Street Primary School
1146,none,West,Glasgow City Council,8416125,G52 2DE,Primary,Lourdes Primary School
1194,none,West,Glasgow City Council,8416524,G43 2PR,Primary,Merrylee Primary School
1209,none,West,Glasgow City Council,8431221,G45 0EL,Primary,Miller Primary School
1241,none,West,Glasgow City Council,8416923,G52 1LZ,Primary,Mosspark Primary School
1249,none,West,Glasgow City Council,8456526,G32 9NY,Primary,Mount Vernon Primary School
1331,none,West,Glasgow City Council,8417628,G4 9PW,Primary,Oakgrove Primary School
1352,none,West,Glasgow City Council,8417822,G43 2PR,Primary,Our Lady of the Annunciation Primary School
1398,none,West,Glasgow City Council,8410020,G51 4AW,Primary,Pirie Park Primary School
1465,none,West,Glasgow City Council,8400229,G51 2DJ,Primary,Riverside Primary School
1503,Eastbank Netball Club,West,Glasgow City Council,8419728,G40 4AR,Primary,Sacred Heart RC Primary School
1517,none,West,Glasgow City Council,8428220,G52 2QY,Primary,Sandwood Primary School
